"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 09 16:06:57 IST 2020","Mon Mar 09 16:06:59 IST 2020","2037","","Notification Preference Module","","Notification Preference Module","C3563 - Verify General Notifications are displayed on My Account>Notification Preferences page","C3563 - Verify General Notifications are displayed on My Account>Notification Preferences page",""
"broken","Mon Mar 09 16:05:22 IST 2020","Mon Mar 09 16:05:32 IST 2020","10019","","Change Password Module","","Change Password Module","C154-Verify wrong Old Password validation","C154-Verify wrong Old Password validation",""
"broken","Mon Mar 09 17:04:55 IST 2020","Mon Mar 09 17:05:06 IST 2020","11021","","Login Module","","Login Module","should not allow to login with invalid credentials","should not allow to login with invalid credentials",""
"passed","Mon Mar 09 16:08:26 IST 2020","Mon Mar 09 16:08:35 IST 2020","8919","","Interface Preference Module","","Interface Preference Module","C4560-Verify user is able to enable all/some preferences at a time","C4560-Verify user is able to enable all/some preferences at a time",""
"passed","Mon Mar 09 16:07:53 IST 2020","Mon Mar 09 16:08:03 IST 2020","10131","","Notification Preference Module","","Notification Preference Module","User want to scroll down and up the page","User want to scroll down and up the page",""
"broken","Mon Mar 09 16:06:25 IST 2020","Mon Mar 09 16:06:37 IST 2020","12024","","Change Password Module","","Change Password Module","C156(C)-user verify login after change password","C156(C)-user verify login after change password",""
"passed","Wed Mar 11 13:27:42 IST 2020","Wed Mar 11 13:28:07 IST 2020","25278","","Login Module","","Login Module","should open with google sign-in","should open with google sign-in",""
"passed","Mon Mar 09 16:04:23 IST 2020","Mon Mar 09 16:04:29 IST 2020","5750","","My Account Module","","My Account Module","C149 - Verify Last Name field with more than 100 chars validation","C149 - Verify Last Name field with more than 100 chars validation",""
"failed","Mon Mar 09 16:07:42 IST 2020","Mon Mar 09 16:07:53 IST 2020","11183","","Notification Preference Module","","Notification Preference Module","C3574 - Verify User is able to disable all/some channels of 'Company Assigned' notification at a time","C3574 - Verify User is able to disable all/some channels of 'Company Assigned' notification at a time",""
"broken","Mon Mar 09 17:04:33 IST 2020","Mon Mar 09 17:04:44 IST 2020","11023","","Login Module","","Login Module","should not allow to login with only email address","should not allow to login with only email address",""
"passed","Mon Mar 09 16:07:01 IST 2020","Mon Mar 09 16:07:24 IST 2020","23612","","Notification Preference Module","","Notification Preference Module","C3572 - Verify User is able to disable all/some channels of 'Contact Assigned' notification at a time","C3572 - Verify User is able to disable all/some channels of 'Contact Assigned' notification at a time",""
"passed","Mon Mar 09 16:06:52 IST 2020","Mon Mar 09 16:06:57 IST 2020","4442","","Notification Preference Module","","Notification Preference Module","User wants to reach notification Preference Page","User wants to reach notification Preference Page",""
"broken","Mon Mar 09 16:04:39 IST 2020","Mon Mar 09 16:04:49 IST 2020","10100","","My Account Module","","My Account Module","User wants to change time format and verify it","User wants to change time format and verify it",""
"broken","Mon Mar 09 16:06:10 IST 2020","Mon Mar 09 16:06:25 IST 2020","15050","","Change Password Module","","Change Password Module","User wants to logout after Google Sign In","User wants to logout after Google Sign In",""
"failed","Mon Mar 09 16:08:44 IST 2020","Mon Mar 09 16:08:55 IST 2020","10970","","Interface Preference Module","","Interface Preference Module","As a User I want to change Theme option to Light color","As a User I want to change Theme option to Light color",""
"passed","Mon Mar 09 16:08:14 IST 2020","Mon Mar 09 16:08:20 IST 2020","6120","","Interface Preference Module","","Interface Preference Module","C4940- Verify Interface Preferences page is displayed under My Account","C4940- Verify Interface Preferences page is displayed under My Account",""
"failed","Mon Mar 09 16:08:55 IST 2020","Mon Mar 09 16:09:05 IST 2020","10307","","Interface Preference Module","","Interface Preference Module","As a User I want to change Theme option to Dark color","As a User I want to change Theme option to Dark color",""
"broken","Mon Mar 09 17:04:23 IST 2020","Mon Mar 09 17:04:33 IST 2020","10020","","Login Module","","Login Module","should not allow me to login with blank input","should not allow me to login with blank input",""
"broken","Mon Mar 09 16:05:12 IST 2020","Mon Mar 09 16:05:22 IST 2020","10023","","Change Password Module","","Change Password Module","C153-Verify mandatoy fields on Change Password tab","C153-Verify mandatoy fields on Change Password tab",""
"broken","Mon Mar 09 16:05:58 IST 2020","Mon Mar 09 16:06:10 IST 2020","12026","","Change Password Module","","Change Password Module","User wants to redirect to Google Sign In page","User wants to redirect to Google Sign In page",""
"passed","Mon Mar 09 16:04:07 IST 2020","Mon Mar 09 16:04:19 IST 2020","12331","","My Account Module","","My Account Module","C145 - Verify mandatory fields on General Settings page","C145 - Verify mandatory fields on General Settings page",""
